"Cantidad de viviendas colectivas del tipo ""Hogar de personas mayores / Geriátrico"" por departamento (Censo 2022, INDEC)
";;
Presidente Roque Sáenz Peña;Córdoba;11
Punilla;Córdoba;40
Río Cuarto;Córdoba;76
Río Primero;Córdoba;7
Río Seco;Córdoba;1
Río Segundo;Córdoba;36
San Alberto;Córdoba;2
San Javier;Córdoba;5
San Justo;Córdoba;62
Santa María;Córdoba;23
Sobremonte;Córdoba;1
Tercero Arriba;Córdoba;39
Tulumba;Córdoba;1
Unión;Córdoba;38
Bella Vista;Corrientes;2
Capital;Corrientes;9
Curuzú Cuatiá;Corrientes;2
Empedrado;Corrientes;1
General Alvear;Corrientes;1
Goya;Corrientes;2
Lavalle;Corrientes;1
Mburucuyá;Corrientes;2
Mercedes;Corrientes;1
Monte Caseros;Corrientes;1
Paso de los Libres;Corrientes;2
Saladas;Corrientes;1
San Luis del Palmar;Corrientes;1
San Martín;Corrientes;1
San Miguel;Corrientes;1
San Roque;Corrientes;2
Colón;Entre Ríos;18
Concordia;Entre Ríos;23
Diamante;Entre Ríos;22
Federación;Entre Ríos;6
Federal;Entre Ríos;2
Feliciano;Entre Ríos;1
Gualeguay;Entre Ríos;13
Gualeguaychú;Entre Ríos;20
Islas del Ibicuy;Entre Ríos;1
La Paz;Entre Ríos;5
Nogoyá;Entre Ríos;5
Paraná;Entre Ríos;66
San Salvador;Entre Ríos;1
Tala;Entre Ríos;5
Uruguay;Entre Ríos;19
Victoria;Entre Ríos;5
Villaguay;Entre Ríos;8
Formosa;Formosa;2
Patiño;Formosa;2
Pilagás;Formosa;1
Pilcomayo;Formosa;1
Pirané;Formosa;1
El Carmen;Jujuy;1
Dr. Manuel Belgrano;Jujuy;5
Humahuaca;Jujuy;1
Tilcara;Jujuy;1
Atreucó;La Pampa;4
Capital;La Pampa;28
Conhelo;La Pampa;3
Chapaleufú;La Pampa;1
Guatraché;La Pampa;9
Hucal;La Pampa;3
Loventué;La Pampa;1
Maracó;La Pampa;15
Quemú Quemú;La Pampa;4
Rancul;La Pampa;2
Realicó;La Pampa;8
Toay;La Pampa;1
Trenel;La Pampa;3
Utracán;La Pampa;5
Capital;La Rioja;6
Chilecito;La Rioja;2
Rosario Vera Peñaloza;La Rioja;1
Capital;Mendoza;33
General Alvear;Mendoza;11
Godoy Cruz;Mendoza;17
Guaymallén;Mendoza;37
Junín;Mendoza;3
La Paz;Mendoza;1
Las Heras;Mendoza;4
Luján de Cuyo;Mendoza;22
Maipú;Mendoza;16
Malargüe;Mendoza;2
Rivadavia;Mendoza;7
San Martín;Mendoza;13
San Rafael;Mendoza;34
Tunuyán;Mendoza;4
Tupungato;Mendoza;1
Apóstoles;Misiones;3
Cainguás;Misiones;1
Candelaria;Misiones;2
Capital;Misiones;13
Concepción;Misiones;3
Eldorado;Misiones;7
General Manuel Belgrano;Misiones;1
Iguazú;Misiones;3
Leandro N. Alem;Misiones;2
Libertador General San Martín;Misiones;2
Montecarlo;Misiones;1
Oberá;Misiones;7
San Ignacio;Misiones;4
San Javier;Misiones;1
San Pedro;Misiones;1
Confluencia;Neuquén;31
Chos Malal;Neuquén;2
Los Lagos;Neuquén;3
Zapala;Neuquén;1
Adolfo Alsina;Río Negro;5
Avellaneda;Río Negro;4
Bariloche;Río Negro;8
Conesa;Río Negro;1
General Roca;Río Negro;19
9 de Julio;Río Negro;1
Pichi Mahuida;Río Negro;5
Pilcaniyeu;Río Negro;2
San Antonio;Río Negro;3
25 de Mayo;Río Negro;3
Capital;Salta;18
Cerrillos;Salta;1
Chicoana;Salta;1
General José de San Martín;Salta;1
La Caldera;Salta;1
La Viña;Salta;1
Orán;Salta;5
Rosario de la Frontera;Salta;1
Rosario de Lerma;Salta;1
Capital;San Juan;16
Rivadavia;San Juan;2
Chacabuco;San Luis;2
General Pedernera;San Luis;10
Gobernador Dupuy;San Luis;1
Junín;San Luis;4
Juan Martín de Pueyrredón;San Luis;17
Corpen Aike;Santa Cruz;2
Deseado;Santa Cruz;2
Güer Aike;Santa Cruz;4
Lago Argentino;Santa Cruz;2
Lago Buenos Aires;Santa Cruz;1
Magallanes;Santa Cruz;1
Río Chico;Santa Cruz;1
Belgrano;Santa Fe;15
Caseros;Santa Fe;34
Castellanos;Santa Fe;43
Constitución;Santa Fe;20
Garay;Santa Fe;3
General López;Santa Fe;53
General Obligado;Santa Fe;6
Iriondo;Santa Fe;30
La Capital;Santa Fe;70
Las Colonias;Santa Fe;51
Rosario;Santa Fe;180
San Cristóbal;Santa Fe;7
San Javier;Santa Fe;2
San Jerónimo;Santa Fe;35
San Justo;Santa Fe;12
San Lorenzo;Santa Fe;23
San Martín;Santa Fe;29
Vera;Santa Fe;7
Aguirre;Santiago del Estero;1
Banda;Santiago del Estero;2
Capital;Santiago del Estero;2
Figueroa;Santiago del Estero;1
General Taboada;Santiago del Estero;2
Moreno;Santiago del Estero;1
Ojo de Agua;Santiago del Estero;1
Río Grande;Tierra del Fuego;1
Cruz Alta;Tucumán;1
Chicligasta;Tucumán;1
Famaillá;Tucumán;1
Lules;Tucumán;1
Capital;Tucumán;14
Tafí del Valle;Tucumán;1
Tafí Viejo;Tucumán;1
Yerba Buena;Tucumán;2
